상권명,특징_요약,핵심_고객층,상권_유형,주요_업종_Top5,평균_재방문율(%),평균_신규방문율(%)
뚝섬,"남성 30대, 여성 20대이하, 여성 30대이(가) 주로 찾는 유동인구 중심의 상권으로, 재방문 고객(22.8%) 비중이 높은 곳이며, 주로 카페 업종이 발달해 있습니다.","남성 30대 (16.7%), 여성 20대이하 (16.2%), 여성 30대 (16.2%)",유동인구 중심 (57.3%),"카페, 백반/가정식, 양식, 한식-육류/고기, 한식-단품요리일반",22.8,11.25
마장동,"남성 60대이상이(가) 주로 찾는 유동인구 중심의 상권으로, 재방문 고객(25.4%) 비중이 높은 곳이며, 주로 축산물 업종이 발달해 있습니다.",남성 60대이상 (17.2%),유동인구 중심 (63.0%),"축산물, 한식-육류/고기, 백반/가정식, 식료품, 카페",25.35,9.3
답십리,"남성 50대이(가) 주로 찾는 유동인구 중심의 상권으로, 재방문 고객(27.6%) 비중이 높은 곳이며, 주로 한식-육류/고기 업종이 발달해 있습니다.",남성 50대 (15.7%),유동인구 중심 (52.2%),"한식-육류/고기, 백반/가정식, 한식-단품요리일반, 한식-해물/생선, 농산물",27.61,10.12
성수,"남성 30대이(가) 주로 찾는 유동인구 중심의 상권으로, 재방문 고객(24.3%) 비중이 높은 곳이며, 주로 백반/가정식 업종이 발달해 있습니다.",남성 30대 (15.9%),유동인구 중심 (57.6%),"백반/가정식, 카페, 한식-육류/고기, 한식-단품요리일반, 양식",24.31,10.22
왕십리,"남성 30대, 남성 50대이(가) 주로 찾는 유동인구 중심의 상권으로, 재방문 고객(25.5%) 비중이 높은 곳이며, 주로 한식-육류/고기 업종이 발달해 있습니다.","남성 30대 (12.8%), 남성 50대 (13.5%)",유동인구 중심 (44.9%),"한식-육류/고기, 백반/가정식, 한식-단품요리일반, 카페, 치킨",25.53,9.79
옥수,"남성 30대, 남성 40대, 여성 30대, 여성 40대이(가) 주로 찾는 거주 중심의 상권으로, 재방문 고객(27.6%) 비중이 높은 곳이며, 주로 카페 업종이 발달해 있습니다.","남성 30대 (12.9%), 남성 40대 (11.6%), 여성 30대 (13.0%), 여성 40대 (11.5%)",거주 중심 (49.9%),"카페, 한식-육류/고기, 백반/가정식, 베이커리, 양식",27.59,8.89
금남시장,"남성 30대, 남성 40대, 남성 50대, 남성 60대이상이(가) 주로 찾는 거주 중심의 상권으로, 재방문 고객(27.2%) 비중이 높은 곳이며, 주로 한식-육류/고기 업종이 발달해 있습니다.","남성 30대 (11.3%), 남성 40대 (12.0%), 남성 50대 (13.1%), 남성 60대이상 (12.2%)",거주 중심 (59.3%),"한식-육류/고기, 백반/가정식, 한식-단품요리일반, 카페, 치킨",27.15,8.96
한양대,"남성 20대이하이(가) 주로 찾는 유동인구 중심의 상권으로, 재방문 고객(23.3%) 비중이 높은 곳이며, 주로 한식-육류/고기 업종이 발달해 있습니다.",남성 20대이하 (31.3%),유동인구 중심 (57.4%),"한식-육류/고기, 한식-단품요리일반, 카페, 백반/가정식, 커피전문점",23.32,9.2
장한평자동차,"남성 60대이상이(가) 주로 찾는 유동인구 중심의 상권으로, 재방문 고객(32.9%) 비중이 높은 곳이며, 주로 백반/가정식 업종이 발달해 있습니다.",남성 60대이상 (20.1%),유동인구 중심 (62.4%),"백반/가정식, 카페, 한식-단품요리일반, 커피전문점, 식료품",32.93,11.12
행당,"여성 40대, 여성 50대이(가) 주로 찾는 거주 중심의 상권으로, 재방문 고객(32.1%) 비중이 높은 곳이며, 주로 카페 업종이 발달해 있습니다.","여성 40대 (15.0%), 여성 50대 (14.0%)",거주 중심 (65.6%),"카페, 분식, 베이커리, 아이스크림/빙수, 식료품",32.14,8.44
신금호,"남성 40대, 남성 50대이(가) 주로 찾는 거주 중심의 상권으로, 재방문 고객(32.7%) 비중이 높은 곳이며, 주로 한식-육류/고기 업종이 발달해 있습니다.","남성 40대 (11.7%), 남성 50대 (13.6%)",거주 중심 (62.0%),"한식-육류/고기, 치킨, 분식, 카페, 한식-단품요리일반",32.67,8.44
기타,"남성 30대이(가) 주로 찾는 유동인구 중심의 상권으로, 재방문 고객(18.1%) 비중이 높은 곳이며, 주로 피자 업종이 발달해 있습니다.",남성 30대 (22.4%),유동인구 중심 (61.7%),피자,18.11,6.0
압구정로데오,"여성 50대이(가) 주로 찾는 거주 중심의 상권으로, 신규 고객(17.6%) 유입이 활발한 곳이며, 주로 건강식품 업종이 발달해 있습니다.",여성 50대 (74.5%),거주 중심 (50.0%),건강식품,8.82,17.65
풍산지구,"남성 30대이(가) 주로 찾는 유동인구 중심의 상권으로, 신규 고객(17.2%) 유입이 활발한 곳이며, 주로 양식 업종이 발달해 있습니다.",남성 30대 (19.6%),유동인구 중심 (97.1%),양식,11.17,17.23
화양시장,"남성 50대이(가) 주로 찾는 유동인구 중심의 상권으로, 재방문 고객(31.7%) 비중이 높은 곳이며, 주로 백반/가정식 업종이 발달해 있습니다.",남성 50대 (25.1%),유동인구 중심 (74.3%),백반/가정식,31.71,5.89
미아사거리,"남성 50대, 여성 50대이(가) 주로 찾는 유동인구 중심의 상권으로, 신규 고객(28.5%) 유입이 활발한 곳이며, 주로 양식 업종이 발달해 있습니다.","남성 50대 (33.0%), 여성 50대 (34.9%)",유동인구 중심 (100.0%),양식,0.0,28.54
방배역,"여성 20대이하, 여성 30대이(가) 주로 찾는 유동인구 중심의 상권으로, 재방문 고객(23.4%) 비중이 높은 곳이며, 주로 커피전문점 업종이 발달해 있습니다.","여성 20대이하 (27.6%), 여성 30대 (26.0%)",유동인구 중심 (97.0%),커피전문점,23.35,8.25
자양,"남성 30대이(가) 주로 찾는 유동인구 중심의 상권으로, 신규 고객(26.1%) 유입이 활발한 곳이며, 주로 한식-단품요리일반 업종이 발달해 있습니다.",남성 30대 (39.6%),유동인구 중심 (91.9%),한식-단품요리일반,6.68,26.07
동대문역사문화공원역,"남성 20대이하, 남성 30대이(가) 주로 찾는 유동인구 중심의 상권으로, 재방문 고객(15.0%) 비중이 높은 곳이며, 주로 치킨 업종이 발달해 있습니다.","남성 20대이하 (19.7%), 남성 30대 (19.3%)",유동인구 중심 (93.3%),치킨,15.03,14.26
건대입구,"남성 30대이(가) 주로 찾는 유동인구 중심의 상권으로, 재방문 고객(32.3%) 비중이 높은 곳이며, 주로 동남아/인도음식 업종이 발달해 있습니다.",남성 30대 (21.0%),유동인구 중심 (55.8%),동남아/인도음식,32.31,7.38
